customer_id,default_flag,join_date,loan_amount,loan_purpose,transaction_count,spending_ratio,age,gender,region,education_level,employment_type,annual_income,credit_score,repayment_history,year,month,day,weekday,education_level_encoded,employment_type_encoded,gender_encoded,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,debt_to_income_ratio,average_monthly_transactions,spending_to_income_ratio
CUST00001,0,2022-03-04,25700.13,Car,26.0,19.0994,59.0,Female,South,Graduate,Self-Employed,38384.98286511906,565.5203039824149,3.0,2022,3,4,4,2.0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6695360550324498,2.0634920634920637,0.0006773482247305246
CUST00002,0,2016-04-01,19264.58,Business,2.0,27.1723,49.0,Female,West,Secondary,Self-Employed,54156.78644391384,580.9115574628298,2.0,2016,4,1,4,1.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3557186691634832,0.023612750885478158,3.692981307285009e-05
CUST00003,0,2015-04-13,23983.44,Education,28.0,41.93,35.0,Female,East,Graduate,Self-Employed,88523.0138038225,621.473061895565,1.0,2015,4,13,0,2.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27092886888318274,0.29015544041450775,0.0003163019286945124
CUST00004,0,2018-01-31,58439.1,Car,48.0,44.8451,63.0,Female,East,Graduate,Self-Employed,139662.12185188758,620.0760816569634,1.0,2018,1,31,2,2.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41843199304944667,0.7696419027258151,0.00034368660137431
CUST00005,0,2017-09-30,63903.19,Education,10.0,46.2541,28.0,Female,South,Graduate,Self-Employed,58780.06399818446,533.7455548901194,2.0,2017,9,30,5,2.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0871575437885501,0.15045135406218654,0.0001701257079323505
CUST00007,0,2016-07-25,17727.11,Home,37.0,17.6691,59.0,Female,North,Primary,Salaried,47573.71400984002,548.8645172999874,0.0,2016,7,25,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3726240502545875,0.4575432811211872,0.000777740413379267
CUST00008,0,2016-02-24,20571.9,Car,39.0,31.2673,39.0,Male,East,Graduate,Unemployed,177943.21290388203,587.4978930635965,0.0,2016,2,24,2,2.0,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11560935460411259,0.4538401861908456,0.00021917104543383892
CUST00009,0,2022-08-03,34501.93,Car,21.0,42.1541,43.0,Male,South,Graduate,Self-Employed,276619.6310430049,654.9419256402684,2.0,2022,8,3,2,2.0,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.12472697570273357,2.7876106194690267,7.591652089484284e-05
CUST00010,0,2021-02-11,9447.24,Car,28.0,27.3012,31.0,Female,South,Secondary,Self-Employed,259255.54505416623,548.6542876844527,0.0,2021,2,11,3,1.0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.03643987633138643,1.099476439790576,0.00010800154725388792
CUST00011,0,2015-12-23,17977.47,Business,38.0,46.7115,31.0,Male,East,Primary,Salaried,176131.7776125039,554.451886113509,2.0,2015,12,23,2,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206829365880282,0.43165467625899284,0.0002157475528555746
CUST00012,0,2021-08-15,11986.48,Education,33.0,55.4512,44.0,Female,West,Graduate,Salaried,165629.05762196903,647.3334439754505,2.0,2021,8,15,6,2.0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.07236942703228974,1.709844559585492,0.00019924040185822372
CUST00013,0,2019-09-25,50030.38,Other,11.0,5.9051,56.0,Other,North,Post-Graduate,Self-Employed,28477.577019895325,531.3813458715985,1.0,2019,9,25,2,3.0,1,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7568341563977585,0.2600472813238771,0.0003862688174740097
CUST00014,0,2015-05-11,35463.53,Car,45.0,51.5232,60.0,Female,West,Post-Graduate,Salaried,109787.71750096622,569.2166381116743,0.0,2015,5,11,0,3.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.32301910274879236,0.4708754795953959,0.0004098819159766571
CUST00015,0,2015-05-03,25083.41,Car,44.0,49.2501,44.0,Male,North,Graduate,Salaried,73302.09186006713,644.4593742434314,0.0,2015,5,3,6,2.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3421922807862557,0.45913043478260873,0.000600255720996278
CUST00017,0,2017-06-14,25395.39,Education,47.0,11.758,42.0,Male,North,Primary,Salaried,21535.139484864678,648.4323603810197,2.0,2017,6,14,2,0.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1792535645217614,0.6707897240723121,0.0021824794788551302
CUST00018,0,2017-08-10,23115.21,Education,33.0,43.4453,22.0,Male,South,Graduate,Salaried,110833.0863140576,637.811181039201,0.0,2017,8,10,3,2.0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.20855875053863013,0.48410757946210264,0.000297745024500093
CUST00020,0,2021-10-01,80629.17,Car,26.0,29.4651,64.0,Female,North,Graduate,Salaried,193118.2471402707,514.1447780746361,1.0,2021,10,1,4,2.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4175119192203278,1.4661654135338344,0.00013463253931211898
CUST00021,0,2015-04-19,20898.52,Car,15.0,14.7058,50.0,Male,South,Graduate,Unemployed,249894.031305192,609.2477390943926,1.0,2015,4,19,6,2.0,2,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08362952844790814,0.15576323987538943,6.0025443271515016e-05
CUST00022,0,2021-04-17,41446.4,Other,41.0,15.9827,58.0,Female,West,Secondary,Salaried,56539.36441169312,597.6186809330878,2.0,2021,4,17,5,1.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7330538719573635,1.759656652360515,0.0007251584878361426
CUST00023,0,2017-03-25,77293.64,Car,14.0,28.5606,22.0,Female,North,Primary,Salaried,58091.44805509014,625.7267632298204,2.0,2017,3,25,5,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3305510981013893,0.1923957856161246,0.00024099932896703337
CUST00024,0,2023-01-11,20893.4,Other,23.0,39.9519,41.0,Male,East,Secondary,Salaried,113357.06382839507,609.3206441980697,1.0,2023,1,11,2,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1843149363115946,10.615384615384617,0.00020289869217871077
CUST00025,0,2022-04-15,11687.92,Business,8.0,17.9326,53.0,Female,South,Primary,Self-Employed,279360.297037933,630.375974193369,1.0,2022,4,15,4,0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.041838157117985,0.7142857142857143,2.8636853857990126e-05
