customer_id,loan_amount,loan_purpose,transaction_count,spending_ratio
CUST00001,25700.13,Car,26,19.0994
CUST00002,19264.58,Business,2,27.1723
CUST00003,23983.44,Education,28,41.93
CUST00004,58439.1,Car,48,44.8451
CUST00005,63903.19,Education,10,46.2541
CUST00006,13086.02,Education,39,17.2556
CUST00007,17727.11,Home,37,17.6691
CUST00008,20571.9,Car,39,31.2673
CUST00009,34501.93,Car,21,42.1541
CUST00010,9447.24,Car,28,27.3012
CUST00011,17977.47,Business,38,46.7115
CUST00012,11986.48,Education,33,55.4512
CUST00013,50030.38,Other,11,5.9051
CUST00014,35463.53,Car,45,51.5232
CUST00015,25083.41,Car,44,49.2501
CUST00016,15512.14,Business,1,23.4195
CUST00017,25395.39,Education,47,11.758
CUST00018,23115.21,Education,33,43.4453
CUST00019,134286.82,Home,3,26.527
CUST00020,80629.17,Car,26,29.4651
CUST00021,20898.52,Car,15,14.7058
CUST00022,41446.4,Other,41,15.9827
CUST00023,77293.64,Car,14,28.5606
CUST00024,20893.4,Other,23,39.9519
CUST00025,11687.92,Business,8,17.9326
CUST00026,8625.8,Car,36,50.8936
CUST00027,100490.0,Education,20,40.0606
CUST00028,31168.09,Business,6,41.2828
CUST00029,45846.78,Other,33,67.4944
CUST00030,22939.37,Home,28,13.8483
CUST00031,13169.79,Car,38,41.4608
CUST00032,15290.08,Car,30,58.1683
CUST00033,12421.35,Home,46,19.7094
CUST00034,71682.04,Education,43,22.9787
CUST00035,119856.31,Other,17,43.9052
CUST00036,37413.81,Car,9,39.3227
CUST00037,10783.37,Business,28,9.8974
CUST00038,54028.52,Education,7,32.3814
CUST00039,99906.27,Car,46,4.5469
CUST00040,79010.29,Home,28,45.7114
CUST00041,35478.96,Business,17,17.9979
CUST00042,30104.03,Other,40,42.4395
CUST00043,35251.63,Business,48,12.9775
CUST00044,96780.34,Home,44,26.7224
CUST00045,66722.16,Home,44,10.4689
CUST00046,26672.66,Home,5,12.9849
CUST00047,26141.2,Education,5,12.133
CUST00048,24702.11,Business,14,14.8481
CUST00049,15495.33,Home,6,45.462
CUST00050,107094.89,Business,7,23.3463
CUST00051,19336.33,Education,17,28.6624
CUST00052,53756.55,Business,9,22.8475
CUST00053,21393.83,Other,31,5.5465
