CustomerID,Age,Gender,Income,PurchaseFrequency,AvgPurchaseValue,Tenure,Churn
1,56.0,Male,139677.0,18,330.11,1,0
2,69.0,Female,191422.0,13,357.65,8,0
3,46.0,Female,158273.0,37,508.11,8,0
4,32.0,Male,44426.0,35,,1,0
5,,Male,32778.0,39,876.94,9,1
6,25.0,Female,,16,107.06,2,0
7,38.0,Male,171687.0,29,791.54,9,1
8,56.0,Female,101652.0,8,555.6,1,0
9,36.0,Male,143267.0,32,505.62,9,1
10,40.0,Male,194436.0,24,197.89,4,1
11,28.0,Male,141503.0,13,859.52,9,0
12,28.0,Male,99878.0,10,678.56,7,0
13,41.0,Male,72056.0,34,838.72,6,0
14,53.0,Male,173562.0,13,859.47,5,1
15,57.0,Male,34975.0,29,749.61,9,1
16,41.0,Female,172795.0,3,442.01,2,0
17,20.0,Female,169351.0,3,612.49,2,0
18,,Female,157633.0,27,164.56,9,0
19,19.0,Female,103397.0,7,675.28,3,1
20,41.0,Female,,1,183.36,8,0
21,61.0,Male,48142.0,21,695.48,9,0
22,,Male,41916.0,15,233.45,8,0
23,55.0,Female,,28,,4,0
24,19.0,Male,191037.0,29,169.46,1,1
25,38.0,Female,140932.0,11,6.98,4,0
26,50.0,Female,150720.0,34,720.15,9,0
27,29.0,Male,181205.0,10,733.74,2,0
28,39.0,Male,196749.0,20,517.36,3,0
29,,Male,111059.0,20,165.56,8,0
30,42.0,Female,,4,88.14,6,1
31,66.0,Male,50046.0,19,,8,1
32,44.0,Female,193136.0,36,169.92,7,0
33,59.0,Female,349377.0,2,,5,0
34,,Female,60893.0,32,245.33,9,1
35,33.0,Male,116520.0,8,357.5,4,0
36,32.0,Male,140818.0,8,,6,0
37,64.0,Female,76272.0,3,226.25,2,1
38,68.0,Male,82649.0,34,,2,1
39,,Male,79674.0,16,609.71,2,1
40,,Male,159832.0,33,249.13,7,1
41,20.0,Female,167999.0,23,62.44,2,1
42,54.0,Female,101475.0,31,394.08,2,0
43,68.0,Male,,0,238.03,9,0
44,24.0,Female,158660.0,7,223.46,7,0
45,,Male,,22,960.06,3,0
46,26.0,Male,,39,618.22,3,0
47,56.0,Male,198305.0,11,559.09,7,0
48,35.0,Male,59738.0,11,418.7,5,0
49,21.0,Female,48397.0,14,,6,0
50,42.0,Female,97189.0,18,543.2,8,0
51,31.0,Female,91367.0,25,697.95,9,0
52,67.0,Male,,28,703.64,1,0
53,26.0,Male,91619.0,21,175.84,3,1
54,43.0,Male,126453.0,39,502.61,7,0
55,19.0,Female,34816.0,20,414.9,6,0
56,37.0,Male,188312.0,37,871.17,7,1
57,45.0,Female,152348.0,19,633.26,8,0
58,64.0,Female,94530.0,28,534.84,6,0
59,24.0,Female,169571.0,3,119.82,3,0
60,61.0,Female,123856.0,6,607.61,2,0
61,25.0,Female,86635.0,27,121.62,7,1
62,64.0,Female,122803.0,27,340.52,1,0
63,52.0,Male,50946.0,3,147.13,3,0
64,31.0,Male,70204.0,21,693.61,4,0
65,34.0,Female,,11,210.22,1,0
66,53.0,Female,30563.0,2,,5,0
67,67.0,Male,107324.0,21,,3,0
68,57.0,Female,24847.0,1,208.29,2,0
69,21.0,Female,41155.0,23,510.27,3,0
70,19.0,Male,94671.0,33,422.18,8,0
71,23.0,Female,131891.0,26,23.03,6,0
72,59.0,Female,98310.0,0,,7,0
73,21.0,Female,164381.0,7,,6,1
74,46.0,Male,146691.0,22,476.88,6,0
75,35.0,Male,196180.0,37,,3,0
76,43.0,Male,49707.0,5,630.28,8,0
77,61.0,Female,166409.0,21,690.19,7,0
78,51.0,Female,96537.0,24,257.01,7,1
79,27.0,Male,193686.0,17,14.93,6,0
80,53.0,Female,106155.0,16,724.83,5,1
81,31.0,Female,15281.0,11,537.98,8,0
82,48.0,Female,173492.0,5,836.94,5,1
83,65.0,Female,185102.0,25,822.28,9,0
84,32.0,Female,147130.0,26,844.11,9,1
85,25.0,Male,273780.0,7,,1,0
86,31.0,Female,174476.0,18,336.96,6,0
87,40.0,Male,175928.0,0,792.6,7,0
88,57.0,Female,155272.0,28,454.04,3,0
89,38.0,Male,237534.0,34,375.04,7,1
90,33.0,Female,48997.0,39,855.7,7,0
91,62.0,Male,171683.0,13,,2,0
92,35.0,Female,134273.0,34,468.98,7,0
93,64.0,Male,187307.0,19,80.32,1,0
94,41.0,Female,,12,390.89,5,0
95,43.0,Male,441933.0,37,1609.04,9,0
96,42.0,Female,141945.0,7,902.27,7,0
97,,Male,60272.0,19,207.46,7,1
98,,Male,,32,71.64,2,0
99,46.0,Female,76212.0,25,877.96,8,0
100,32.0,Female,161470.0,38,392.46,3,1
101,62.0,Male,135030.0,20,544.05,8,0
102,18.0,Female,,8,968.23,3,0
103,42.0,Male,152710.0,23,71.23,7,0
104,24.0,Male,21570.0,36,650.08,2,0
105,26.0,Male,83785.0,16,78.73,4,0
106,41.0,Female,24110.0,23,378.59,6,1
107,18.0,Male,94141.0,20,804.8,9,0
108,61.0,Male,27115.0,38,436.3,5,0
109,25.0,Female,54062.0,38,997.2,9,1
110,41.0,Female,37911.0,12,561.26,5,1
111,28.0,Female,,10,324.56,8,0
112,68.0,Female,47556.0,18,224.01,1,0
113,34.0,Male,143335.0,10,353.77,7,0
114,25.0,Male,16969.0,12,375.67,4,1
115,52.0,Male,58753.0,0,73.37,5,1
116,,Male,150542.0,39,372.73,6,0
117,50.0,Female,136863.0,18,466.92,5,0
118,22.0,Male,25225.0,11,724.12,1,0
119,59.0,Male,138008.0,7,658.45,9,1
120,,Female,169268.0,7,710.22,2,0
121,58.0,Male,120823.0,11,13.32,9,0
122,45.0,Male,28669.0,32,,2,1
123,24.0,Male,550356.0,25,,9,0
124,26.0,Male,139398.0,38,486.57,6,0
125,25.0,Male,125677.0,27,10.29,9,0
126,29.0,Male,63320.0,4,805.47,6,0
127,51.0,Female,193486.0,7,,6,0
128,50.0,Female,161649.0,24,550.68,2,0
129,,Male,140354.0,26,,8,0
130,40.0,Male,103009.0,22,767.68,3,1
131,41.0,Female,43625.0,29,585.8,7,0
132,54.0,Male,39089.0,22,783.05,5,0
133,52.0,Male,51487.0,19,752.99,3,0
134,61.0,Male,125448.0,17,803.99,1,1
135,57.0,Female,65138.0,17,520.42,8,1
136,39.0,Male,188895.0,1,144.62,3,0
137,44.0,Female,183280.0,3,672.8,2,0
138,52.0,Male,69061.0,29,622.37,1,0
139,18.0,Female,176731.0,32,,4,0
140,,Female,116376.0,35,174.03,8,0
141,54.0,Male,177962.0,17,199.0,3,1
142,64.0,Female,94134.0,36,890.96,1,1
143,31.0,Male,62055.0,18,751.23,4,0
144,20.0,Female,34508.0,27,908.69,9,1
145,18.0,Male,565077.0,39,1519.84,1,1
146,22.0,Male,173056.0,19,599.17,2,0
147,43.0,Female,125169.0,32,655.86,9,0
148,31.0,Male,23125.0,11,,2,1
149,56.0,Male,51059.0,14,580.91,3,0
150,44.0,Female,118409.0,38,634.23,7,1
151,,Male,163159.0,1,160.69,3,1
152,32.0,Male,20704.0,28,476.55,9,0
153,32.0,Female,126279.0,9,,6,1
154,43.0,Female,173280.0,1,,3,1
155,59.0,Male,133516.0,10,206.24,9,0
156,30.0,Male,185954.0,12,317.26,1,0
157,68.0,Female,171995.0,9,245.29,3,0
158,49.0,Female,129044.0,13,218.84,1,0
159,56.0,Male,,17,427.73,2,0
160,66.0,Female,82203.0,8,908.3,8,0
161,,Male,19114.0,38,509.52,7,0
162,,Male,51321.0,27,191.98,2,0
163,21.0,Male,88297.0,2,,2,1
164,47.0,Male,111652.0,19,,9,1
165,54.0,Male,114304.0,5,385.88,6,1
166,40.0,Female,171498.0,26,822.72,5,0
167,56.0,Female,32772.0,1,,6,1
168,62.0,Female,,28,797.26,9,1
169,32.0,Female,56136.0,37,551.18,7,0
170,60.0,Male,147439.0,2,693.9,9,0
171,46.0,Male,130142.0,15,267.74,4,0
172,53.0,Male,106736.0,29,939.37,2,1
173,30.0,Male,66924.0,39,638.19,8,0
174,,Female,18726.0,1,,4,0
175,24.0,Male,104152.0,16,273.16,9,0
176,68.0,Male,,11,194.97,4,0
177,39.0,Female,,34,,8,0
178,45.0,Female,115494.0,0,222.62,9,0
179,19.0,Female,155180.0,14,597.33,9,0
180,59.0,Female,50643.0,25,268.31,4,1
181,62.0,Male,177396.0,36,663.66,1,0
182,23.0,Male,118896.0,20,815.87,3,0
183,45.0,Female,154999.0,30,779.14,9,0
184,45.0,Male,,24,,4,0
185,,Male,111546.0,22,191.78,5,0
186,61.0,Male,168515.0,23,92.94,7,0
187,37.0,Female,94973.0,37,700.45,5,1
188,47.0,Male,78449.0,27,371.51,4,1
189,28.0,Female,124834.0,20,435.18,2,1
190,,Male,40537.0,17,35.99,2,0
191,42.0,Male,92576.0,35,263.28,4,0
192,56.0,Male,122522.0,34,38.51,9,1
193,,Female,37612.0,8,879.79,8,0
194,18.0,Male,21471.0,37,247.18,3,0
195,,Female,181703.0,29,559.55,9,0
196,69.0,Female,46348.0,33,43.78,5,0
197,30.0,Female,16177.0,31,668.51,3,0
198,58.0,Male,,2,326.41,5,1
199,20.0,Male,47779.0,2,898.43,4,0
200,56.0,Male,36636.0,27,888.68,8,0
201,23.0,Male,96889.0,14,328.66,5,1
